bin,lo,hi,count,confidence,empirical_rate,gap
1,0.0,0.1,113,0.020128842443227768,0.008849557522123894,0.011279284921103874
2,0.1,0.2,17,0.14480355381965637,0.11764705882352941,0.027156494996126962
3,0.2,0.30000000000000004,17,0.2414892166852951,0.058823529411764705,0.18266568727353039
4,0.30000000000000004,0.4,9,0.3541322648525238,0.1111111111111111,0.2430211537414127
5,0.4,0.5,7,0.45933541655540466,0.0,0.45933541655540466
6,0.5,0.6000000000000001,9,0.5366160869598389,0.3333333333333333,0.20328275362650555
7,0.6000000000000001,0.7000000000000001,9,0.6426026225090027,0.1111111111111111,0.5314915113978915
8,0.7000000000000001,0.8,9,0.7538983821868896,0.5555555555555556,0.19834282663133407
9,0.8,0.9,20,0.8603765368461609,0.25,0.6103765368461609
10,0.9,1.0,414,0.993939220905304,0.8961352657004831,0.09780395520482088
